Item,Year,Value
Cashew nuts in shell,2003,649.4
Cashew nuts in shell,2004,685.9
Cashew nuts in shell,2005,663.4
Cashew nuts in shell,2006,684.6
Cashew nuts in shell,2007,726
Cashew nuts in shell,2008,766.1
Cashew nuts in shell,2009,778.3
Cashew nuts in shell,2010,664.1
Cashew nuts in shell,2011,707.7
Cashew nuts in shell,2012,740.6
Cashew nuts in shell,2013,759.1
Cashew nuts in shell,2014,744.8
Cashew nuts in shell,2015,723.3
Cashew nuts in shell,2016,647.7
Cashew nuts in shell,2017,761.8
Cashew nuts in shell,2018,769.3
Cashew nuts in shell,2019,672.4
Cashew nuts in shell,2020,624.9
Cashew nuts in shell,2021,636.8
Cashew nuts in shell,2022,635.1
Cashew nuts in shell,2023,654.4
Cassava fresh,2000,26908.7
Cassava fresh,2001,26699.8
Cassava fresh,2002,27274.6
Cassava fresh,2003,26213.5
Cassava fresh,2004,27043.6
Cassava fresh,2005,30497.8
Cassava fresh,2006,32113.2
Cassava fresh,2007,32220.4
Cassava fresh,2008,33540.7
Cassava fresh,2009,34343.3
Cassava fresh,2010,34755.5
Cassava fresh,2011,36477
Cassava fresh,2012,38581.8
Cassava fresh,2013,34959.4
Cassava fresh,2014,35655.5
Cassava fresh,2015,21024
Cassava fresh,2016,21294.1
Cassava fresh,2017,20959.8
Cassava fresh,2018,28612.7
Cassava fresh,2019,30527.6
Cassava fresh,2020,35028.9
Cassava fresh,2021,37929
Cassava fresh,2022,36122.1
Cassava fresh,2023,35771.1
Castor oil seeds,2000,817.6
Castor oil seeds,2001,910.7
Castor oil seeds,2002,734.1
Castor oil seeds,2003,1110.8
Castor oil seeds,2004,1067.8
Castor oil seeds,2005,1146.4
Castor oil seeds,2006,1192.5
Castor oil seeds,2007,1338
Castor oil seeds,2008,1352
Castor oil seeds,2009,1373
Castor oil seeds,2010,1526
Castor oil seeds,2011,1560.2
Castor oil seeds,2012,1591.6
Castor oil seeds,2013,1624.4
Castor oil seeds,2014,1692.3
Castor oil seeds,2015,1608.8
Castor oil seeds,2016,1326.9
Castor oil seeds,2017,1703.7
Castor oil seeds,2018,1902.1
Castor oil seeds,2019,1592.8
Castor oil seeds,2020,1760.5
Castor oil seeds,2021,1855.7
Castor oil seeds,2022,1948
Castor oil seeds,2023,1942.3
Cauliflowers and broccoli,2000,18880
Cauliflowers and broccoli,2001,18038.5
Cauliflowers and broccoli,2002,18111.1
Cauliflowers and broccoli,2003,17142.9
Cauliflowers and broccoli,2004,18440.5
Cauliflowers and broccoli,2005,18930
Cauliflowers and broccoli,2006,18444.6
Cauliflowers and broccoli,2007,18337.7
Cauliflowers and broccoli,2008,18516
Cauliflowers and broccoli,2009,18721.4
Cauliflowers and broccoli,2010,18881.9
Cauliflowers and broccoli,2011,18279.1
Cauliflowers and broccoli,2012,18795.4
Cauliflowers and broccoli,2013,19619.4
Cauliflowers and broccoli,2014,19760
Cauliflowers and broccoli,2015,19284.7
Cauliflowers and broccoli,2016,18990.6
Cauliflowers and broccoli,2017,18848
Cauliflowers and broccoli,2018,19134.7
Cauliflowers and broccoli,2019,19533.3
Cauliflowers and broccoli,2020,19145.6
Cauliflowers and broccoli,2021,19503.2
Cauliflowers and broccoli,2022,19887.7
Cauliflowers and broccoli,2023,19446
Cherries,2000,2780.4
Cherries,2001,2797.2
Cherries,2002,2814.1
Cherries,2003,2830.9
Cherries,2004,2848.7
Cherries,2005,2867.5
Cherries,2006,2886.4
Cherries,2007,2905.2
Cherries,2008,2924
Cherries,2009,2942.8
Cherries,2010,2961.7
Cherries,2011,2980.5
Cherries,2012,2999.3
Cherries,2013,3018.1
Cherries,2014,3024.4
Cherries,2015,3041.1
Cherries,2016,3028.2
Cherries,2017,3047.3
Cherries,2018,2918.6
Cherries,2019,2947.9
Cherries,2020,3024.7
Cherries,2021,3010
Cherries,2022,2927.5
Cherries,2023,2987.2
Chick peas dry,2000,832.7
Chick peas dry,2001,743.5
Chick peas dry,2002,853
Chick peas dry,2003,717.3
Chick peas dry,2004,811.2
Chick peas dry,2005,814.6
Chick peas dry,2006,808.5
Chick peas dry,2007,845.2
Chick peas dry,2008,762
Chick peas dry,2009,894.8
Chick peas dry,2010,915.5
Chick peas dry,2011,894.5
Chick peas dry,2012,925.5
Chick peas dry,2013,1036.4
Chick peas dry,2014,960
Chick peas dry,2015,888.6
Chick peas dry,2016,840.3
Chick peas dry,2017,974.2
Chick peas dry,2018,1077.5
Chick peas dry,2019,1041
Chick peas dry,2020,1142.3
Chick peas dry,2021,1191.6
Chick peas dry,2022,1261
Chick peas dry,2023,1171.6
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2000,1176
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2001,1214.8
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2002,1082.4
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2003,1595.9
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2004,1607.5
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2005,1549.2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2006,1628.1
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2007,1601.3
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2008,1630
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2009,1567.9
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2010,1544.5
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2011,1585.9
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2012,1643.2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2013,1925.2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2014,1925.2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2015,2109.1
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2016,1874.4
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2017,2495.2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2018,2857.7
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2019,2234.6
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2020,2931.3
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2021,2918.8
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2022,2764
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2023,3265.3
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2000,9090.9
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2001,9021.3
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2002,8997.1
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2003,8970.3
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2004,8941.4
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2005,8838
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2006,8792.8
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2007,8748.1
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2008,8703.1
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2009,8659.2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2010,8617.3
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2011,8577.9
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2012,8500
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2013,8500
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2014,8473.9
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2015,8428.1
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2016,8466.4
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2017,8454.4
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2018,8424.8
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2019,8390.5
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2020,8700.2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2021,8504.6
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2022,8531
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2023,8578.4
Cocoa beans,2000,393
Cocoa beans,2001,415.5
Cocoa beans,2002,420.3
Cocoa beans,2003,383.5
Cocoa beans,2004,366.9
Cocoa beans,2005,332.6
Cocoa beans,2006,345.3
Cocoa beans,2007,335.5
Cocoa beans,2008,331.2
Cocoa beans,2009,347.1
Cocoa beans,2010,278.6
Cocoa beans,2011,254.9
Cocoa beans,2012,206.3
Cocoa beans,2013,197
Cocoa beans,2014,211.3
Cocoa beans,2015,205.1
Cocoa beans,2016,209.9
Cocoa beans,2017,228.9
Cocoa beans,2018,224.7
Cocoa beans,2019,255.3
Cocoa beans,2020,265.3
Cocoa beans,2021,262.1
Cocoa beans,2022,264.2
Cocoa beans,2023,275.2
Coconuts in shell,2000,4717.5
Coconuts in shell,2001,4712
Coconuts in shell,2002,4621.8
Coconuts in shell,2003,4490.6
Coconuts in shell,2004,4333.7
Coconuts in shell,2005,4562.8
Coconuts in shell,2006,5234.2
Coconuts in shell,2007,5615.5
Coconuts in shell,2008,5332.2
Coconuts in shell,2009,5711.4
Coconuts in shell,2010,5717.6
Coconuts in shell,2011,4964.2
Coconuts in shell,2012,4941.5
Coconuts in shell,2013,5574.8
Coconuts in shell,2014,5607.3
Coconuts in shell,2015,5367.3
Coconuts in shell,2016,5448.8
Coconuts in shell,2017,5366.1
Coconuts in shell,2018,7826.9
Coconuts in shell,2019,6825.7
Coconuts in shell,2020,6445.5
Coconuts in shell,2021,6503.4
Coconuts in shell,2022,6182.5
Coconuts in shell,2023,6220
Coffee green,2000,946.7
Coffee green,2001,958.8
Coffee green,2002,938.5
Coffee green,2003,858.6
Coffee green,2004,832
Coffee green,2005,826.5
Coffee green,2006,802.7
Coffee green,2007,839.6
Coffee green,2008,760.5
Coffee green,2009,748.4
Coffee green,2010,814.6
Coffee green,2011,837.8
Coffee green,2012,851.7
Coffee green,2013,845.6
Coffee green,2014,798.6
Coffee green,2015,772.6
Coffee green,2016,801
Coffee green,2017,694.3
Coffee green,2018,765.1
Coffee green,2019,766.7
Coffee green,2020,712.6
Coffee green,2021,789.7
Coffee green,2022,774.2
Coffee green,2023,760.2
Cucumbers and gherkins,2000,6611.1
Cucumbers and gherkins,2001,6595.9
Cucumbers and gherkins,2002,6576.6
Cucumbers and gherkins,2003,6556.4
Cucumbers and gherkins,2004,6534.4
Cucumbers and gherkins,2005,6522
Cucumbers and gherkins,2006,6493.8
Cucumbers and gherkins,2007,6471.1
Cucumbers and gherkins,2008,6448
Cucumbers and gherkins,2009,6425.8
Cucumbers and gherkins,2010,6405.2
Cucumbers and gherkins,2011,6386.3
Cucumbers and gherkins,2012,6339.6
Cucumbers and gherkins,2013,6339.6
Cucumbers and gherkins,2014,6331.5
Cucumbers and gherkins,2015,6325.8
Cucumbers and gherkins,2016,6332.2
Cucumbers and gherkins,2017,6322.5
Cucumbers and gherkins,2018,6303.6
Cucumbers and gherkins,2019,6281.1
Cucumbers and gherkins,2020,6490.1
Cucumbers and gherkins,2021,6357.9
Cucumbers and gherkins,2022,6375.9
Cucumbers and gherkins,2023,6407.8
Eggplants (aubergines),2000,16240
Eggplants (aubergines),2001,16383
Eggplants (aubergines),2002,16700
Eggplants (aubergines),2003,15660
Eggplants (aubergines),2004,16416.2
Eggplants (aubergines),2005,16335.8
Eggplants (aubergines),2006,16730.9
Eggplants (aubergines),2007,16642.6
Eggplants (aubergines),2008,17251.3
Eggplants (aubergines),2009,17287.4
Eggplants (aubergines),2010,17248.5
Eggplants (aubergines),2011,17494.1
Eggplants (aubergines),2012,18257.2
Eggplants (aubergines),2013,18620.5
Eggplants (aubergines),2014,19060.4
Eggplants (aubergines),2015,18705.8
Eggplants (aubergines),2016,18876.3
Eggplants (aubergines),2017,17066.8
Eggplants (aubergines),2018,17535.6
Eggplants (aubergines),2019,17441.5
Eggplants (aubergines),2020,17045.7
Eggplants (aubergines),2021,17188.3
Eggplants (aubergines),2022,18911.1
Eggplants (aubergines),2023,18784.1
Figs,2000,2311.3
Figs,2001,2314.8
Figs,2002,2318.3
Figs,2003,2321.7
Figs,2004,2333.7
Figs,2005,2354.2
Figs,2006,2374.7
Figs,2007,2395.2
Figs,2008,2415.7
Figs,2009,2436.2
Figs,2010,2456.7
Figs,2011,2477.2
Figs,2012,2497.7
Figs,2013,2518.2
Figs,2014,2525.9
Figs,2015,2530.3
Figs,2016,2540.7
Figs,2017,2552.3
Figs,2018,2560.8
Figs,2019,2568.9
Figs,2020,2584
Figs,2021,2523.3
Figs,2022,2516.7
Figs,2023,2507.8
Ginger raw,2000,3357.1
Ginger raw,2001,3264.9
Ginger raw,2002,3201.6
Ginger raw,2003,3176.9
Ginger raw,2004,3547.6
Ginger raw,2005,3767.1
Ginger raw,2006,3537.1
Ginger raw,2007,3707.8
Ginger raw,2008,3737.8
Ginger raw,2009,3498.7
Ginger raw,2010,3583.1
Ginger raw,2011,4708.2
Ginger raw,2012,4877.4
Ginger raw,2013,5022.1
Ginger raw,2014,4924.8
Ginger raw,2015,5352.1
Ginger raw,2016,6721.2
Ginger raw,2017,6369
Ginger raw,2018,10678.8
Ginger raw,2019,10902.4
Ginger raw,2020,10494.4
Ginger raw,2021,10853.7
Ginger raw,2022,11497.4
Ginger raw,2023,11523.6
Grapes,2000,28250
Grapes,2001,21200
Grapes,2002,24930.5
Grapes,2003,23950.1
Grapes,2004,25515.6
Grapes,2005,25862.8
Grapes,2006,24993.9
Grapes,2007,25927.7
Grapes,2008,25514.7
Grapes,2009,23475
Grapes,2010,8277.3
Grapes,2011,11126.1
Grapes,2012,19146.6
Grapes,2013,21042.4
Grapes,2014,21773.1
Grapes,2015,21683.3
Grapes,2016,21229.5
Grapes,2017,21328.5
Grapes,2018,21007.2
Grapes,2019,21721.4
Grapes,2020,21206.7
Grapes,2021,21664.5
Grapes,2022,20865
Grapes,2023,22130.2
Green garlic,2000,4210.3
Green garlic,2001,4140
Green garlic,2002,4387.7
Green garlic,2003,4098.7
Green garlic,2004,4975.5
Green garlic,2005,4487.2
Green garlic,2006,4434.4
Green garlic,2007,4876.3
Green garlic,2008,5183.9
Green garlic,2009,5000.3
Green garlic,2010,5058.7
Green garlic,2011,5273.2
Green garlic,2012,5074.4
Green garlic,2013,5076.6
Green garlic,2014,5419.9
Green garlic,2015,5438.9
Green garlic,2016,5754.4
Green garlic,2017,5274.1
Green garlic,2018,5082
Green garlic,2019,8128.5
Green garlic,2020,8309.7
Green garlic,2021,8137.8
Green garlic,2022,8162.8
Green garlic,2023,7994
Groundnuts excluding shelled,2000,988.1
Groundnuts excluding shelled,2001,1126.5
Groundnuts excluding shelled,2002,694.3
Groundnuts excluding shelled,2003,1357.4
Groundnuts excluding shelled,2004,1020.2
Groundnuts excluding shelled,2005,1186.7
Groundnuts excluding shelled,2006,866.1
Groundnuts excluding shelled,2007,1459.4
Groundnuts excluding shelled,2008,1162.7
Groundnuts excluding shelled,2009,991.1
Groundnuts excluding shelled,2010,1410.4
Groundnuts excluding shelled,2011,1311.5
Groundnuts excluding shelled,2012,984.3
Groundnuts excluding shelled,2013,1720.6
Groundnuts excluding shelled,2014,1579.9
Groundnuts excluding shelled,2015,1476.5
Groundnuts excluding shelled,2016,1405.3
Groundnuts excluding shelled,2017,1397.8
Groundnuts excluding shelled,2018,1893
Groundnuts excluding shelled,2019,1422
Groundnuts excluding shelled,2020,2062.5
Groundnuts excluding shelled,2021,1703.1
Groundnuts excluding shelled,2022,1776.6
Groundnuts excluding shelled,2023,2075.5
Jute raw or retted,2000,2025.7
Jute raw or retted,2001,2182
Jute raw or retted,2002,2144.4
Jute raw or retted,2003,2173.1
Jute raw or retted,2004,2186.3
Jute raw or retted,2005,2362.5
Jute raw or retted,2006,2347.7
Jute raw or retted,2007,2254.9
Jute raw or retted,2008,2207.2
Jute raw or retted,2009,2492
Jute raw or retted,2010,2343.7
Jute raw or retted,2011,2450.5
Jute raw or retted,2012,2390
Jute raw or retted,2013,2430
Jute raw or retted,2014,2655.9
Jute raw or retted,2015,2314.6
Jute raw or retted,2016,2519.3
Jute raw or retted,2017,2659.5
Jute raw or retted,2018,2517.5
Jute raw or retted,2019,2569.5
Jute raw or retted,2020,2706.6
Jute raw or retted,2021,2591.5
Jute raw or retted,2022,2792.5
Jute raw or retted,2023,2613.6
Kenaf and other textile bast fibres raw or retted,2000,1077.7
Kenaf and other textile bast fibres raw or retted,2001,1175.9
Kenaf and other textile bast fibres raw or retted,2002,1131.5
Kenaf and other textile bast fibres raw or retted,2003,1055.7
Kenaf and other textile bast fibres raw or retted,2004,1087.4
Kenaf and other textile bast fibres raw or retted,2005,1108.2
Kenaf and other textile bast fibres raw or retted,2006,1135.7
Kenaf and other textile bast fibres raw or retted,2007,1195
Kenaf and other textile bast fibres raw or retted,2008,1320
Kenaf and other textile bast fibres raw or retted,2009,1096.5
Kenaf and other textile bast fibres raw or retted,2010,1223
Kenaf and other textile bast fibres raw or retted,2011,1271.4
Kenaf and other textile bast fibres raw or retted,2012,1298.9
Kenaf and other textile bast fibres raw or retted,2013,1080
Kenaf and other textile bast fibres raw or retted,2014,1176.7
Kenaf and other textile bast fibres raw or retted,2015,1216.1
Kenaf and other textile bast fibres raw or retted,2016,1152.7
Kenaf and other textile bast fibres raw or retted,2017,1180.7
Kenaf and other textile bast fibres raw or retted,2018,1182.1
Kenaf and other textile bast fibres raw or retted,2019,1171.5
Kenaf and other textile bast fibres raw or retted,2020,1178.1
Kenaf and other textile bast fibres raw or retted,2021,1177.2
Kenaf and other textile bast fibres raw or retted,2022,1175.6
Kenaf and other textile bast fibres raw or retted,2023,1176.9
Lemons and limes,2000,8809.8
Lemons and limes,2001,8387.3
Lemons and limes,2002,8764.4
Lemons and limes,2003,9846.8
Lemons and limes,2004,8899.3
Lemons and limes,2005,13093.8
Lemons and limes,2006,8035
Lemons and limes,2007,7833.8
Lemons and limes,2008,8261.9
Lemons and limes,2009,8136.5
Lemons and limes,2010,8894.5
Lemons and limes,2011,9625.6
Lemons and limes,2012,9709.8
Lemons and limes,2013,9888.3
Lemons and limes,2014,9898.5
Lemons and limes,2015,11007.5
Lemons and limes,2016,9951
Lemons and limes,2017,9532.3
Lemons and limes,2018,11007
Lemons and limes,2019,11416.4
Lemons and limes,2020,11450.3
Lemons and limes,2021,10850.2
Lemons and limes,2022,12063.9
Lemons and limes,2023,12137.8
Lentils dry,2000,738.2
Lentils dry,2001,619.3
Lentils dry,2002,662.9
Lentils dry,2003,632.8
Lentils dry,2004,741.3
Lentils dry,2005,676.3
Lentils dry,2006,626.6
Lentils dry,2007,619
Lentils dry,2008,618.3
Lentils dry,2009,692.9
Lentils dry,2010,697.3
Lentils dry,2011,590.8
Lentils dry,2012,677.8
Lentils dry,2013,796.9
Lentils dry,2014,758.4
Lentils dry,2015,704.6
Lentils dry,2016,764.9
Lentils dry,2017,837.6
Lentils dry,2018,1046.9
Lentils dry,2019,901
Lentils dry,2020,846.7
Lentils dry,2021,1017.4
Lentils dry,2022,898.7
Lentils dry,2023,952.3
Lettuce and chicory,2000,6541.7
Lettuce and chicory,2001,6510.8
Lettuce and chicory,2002,6490.9
Lettuce and chicory,2003,6472.6
Lettuce and chicory,2004,6455.1
Lettuce and chicory,2005,6413.5
Lettuce and chicory,2006,6433.2
Lettuce and chicory,2007,6421.8
Lettuce and chicory,2008,6410.7
Lettuce and chicory,2009,6400.9
Lettuce and chicory,2010,6392.5
Lettuce and chicory,2011,6385.2
Lettuce and chicory,2012,6323.5
Lettuce and chicory,2013,6352.9
Lettuce and chicory,2014,6350.8
Lettuce and chicory,2015,6345.2
Lettuce and chicory,2016,6349.5
Lettuce and chicory,2017,6334.8
Lettuce and chicory,2018,6319.3
Lettuce and chicory,2019,6307.7
Lettuce and chicory,2020,6548
Lettuce and chicory,2021,6391.4
Lettuce and chicory,2022,6415.3
Lettuce and chicory,2023,6451.4
Linseed,2000,406
Linseed,2001,350.9
Linseed,2002,390.3
Linseed,2003,392.6
Linseed,2004,412.4
Linseed,2005,378.2
Linseed,2006,394.9
Linseed,2007,394.1
Linseed,2008,348.3
Linseed,2009,414.8
Linseed,2010,449.4
Linseed,2011,409.5
Linseed,2012,470.6
